time,open,high,low,close,Volume,Volume MA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Plot,Plot,Developing Poc,Developing VA High,Developing VA Low,Plot,Plot,Shapes,MA,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Bitcoin Stock to Flow Model,Bitcoin Stock to Flow Model,Bitcoin Stock to Flow Model,Bitcoin Stock to Flow Model,Plot,Mayer Multiple,Strongly Overvalued,Weakly Overvalued,Weakly Undervalued,Strongly Undervalued,Plot,Plot,MA,Range High Percentile,Range High Percentile,Williams Vix Fix,Upper Band,Vix,Plot,RSI
2016-05-22T20:00:00-04:00,13.91,13.91,13.61,13.61,1,NaN,NaN,NaN,13.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-23T20:00:00-04:00,13.68,13.74,12,12.77,2754,NaN,NaN,NaN,13.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-24T20:00:00-04:00,13,13.18,11.93,12.61,9696,NaN,NaN,NaN,13.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-25T20:00:00-04:00,12.61,12.95,12.15,12.47,2993,NaN,NaN,NaN,14.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-26T20:00:00-04:00,12.47,12.47,10.25,10.98,19329,NaN,NaN,NaN,14.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-27T20:00:00-04:00,11.3,12.44,10.7,12.02,15673,NaN,NaN,NaN,14.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-28T20:00:00-04:00,12.02,12.49,11.7,12.34,3385,NaN,NaN,NaN,14.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-29T20:00:00-04:00,12.35,12.88,12,12.88,4124,NaN,NaN,NaN,12.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-30T20:00:00-04:00,12.84,14.24,12.37,14.16,5807,NaN,NaN,NaN,12.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-31T20:00:00-04:00,14.15,14.45,13.5,13.93,10389,NaN,NaN,NaN,12.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-01T20:00:00-04:00,13.93,14.18,13.76,14.03,8048,NaN,NaN,NaN,12.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-02T20:00:00-04:00,14.03,14.12,13.49,13.98,13004,NaN,NaN,NaN,12.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-03T20:00:00-04:00,13.98,14.03,13.56,13.95,6250,NaN,NaN,NaN,12.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-04T20:00:00-04:00,13.97,14.06,13.8,14.04,1953,NaN,NaN,NaN,11.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-05T20:00:00-04:00,14.02,14.3,13.83,14.22,5142,NaN,NaN,NaN,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.69953775038522
2016-06-06T20:00:00-04:00,14.21,14.69,13.97,14.52,13016,NaN,NaN,NaN,10.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.84769109179181
2016-06-07T20:00:00-04:00,14.53,14.87,14.4,14.64,12617,NaN,NaN,NaN,10.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.71152323968238
2016-06-08T20:00:00-04:00,14.64,14.85,14.55,14.71,8224,NaN,NaN,NaN,11.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.23671923947559
2016-06-09T20:00:00-04:00,14.61,14.74,13.76,13.91,17340,NaN,NaN,NaN,11.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.515272224990746
2016-06-10T20:00:00-04:00,13.93,14.29,13.86,14.1,7581,8366.3,12.559999999999999,NaN,11.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.13834431592489
2016-06-11T20:00:00-04:00,14.14,15.91,13.92,15.58,20332,9382.85,13.08,NaN,10.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.465674049235275
2016-06-12T20:00:00-04:00,15.91,17.93,15.49,17.89,24121,10451.2,14.09,NaN,10.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.45570669657022
